,reaction,calibrated rate constant,original rate constant,source
0,a,c,d,e
1,GLUCOUT => REF,2.5E-08,2.5E-08,calibrated
2,GLUT1 + GLUCOUT => GLUT1_GLUCOUT + REF,1.28E+06, 1.28E+06, zhou2022coordination
3,GLUT1_GLUCOUT + REF => GLUT1 + GLUCOUT,0.555,1.553, zhou2022coordination
4,GLUT1_GLUCOUT + REF => GLUT1 + GLUCIN,0.111, 0.111, zhou2022coordination
5,GLUT1 + GLUCIN => GLUT1_GLUCIN + REF,1.28E+06,1.28E+06, zhou2022coordination
6,GLUT1_GLUCIN + REF => GLUT1 + GLUCIN,0.555,1.553, zhou2022coordination
7,GLUT1_GLUCIN + REF => GLUT1 + GLUCOU,0.111,0.111, zhou2022coordination
8,GLUCIN + 8 REF => 2 PYRUVATE + 7 Q,4E-05,,calibrated
9,PYRUVATE + 11.5 REF => 12.5 Q,4E-05,,calibrated
10,Q + ADP  => ATP + REF,1.0E+06,,calibrated
11,ATP => ADP,6.15E-05,1.3E-04, zhou2022coordination
12,2 ADP => ATP + AMP,1.67E+05,1.67E+07, zhou2022coordination
13,ATP + AMP => 2 ADP,1.67E+04,1.67E+07, zhou2022coordination
14,ATP + AMPK => AMPK_ATP + REF,1E+06,1E+06,coccimiglio2020adp
15,AMPK_ATP + REF => ATP + AMPK,2.2E-01,2.2E-01,coccimiglio2020adp
16,ADP + AMPK => AMPK_ADP + REF,1.5E+06,1.5E+06,coccimiglio2020adp
17,AMPK_ADP + REF => ADP + AMPK,2.25E-03,2.25E-03,coccimiglio2020adp
18,AMP + AMPK => AMPK_AMP + REF,1.5E+06,1.5E+06,coccimiglio2020adp
19,AMPK_AMP + REF => AMP + AMPK,3.75E-03,3.75E-03,coccimiglio2020adp
20,ATP + AMPKA => AMPKA_ATP + REF,1E+06,1E+06,coccimiglio2020adp
21,AMPKA_ATP + REF => ATP + AMPKA,4E-01,4E-01,coccimiglio2020adp
22,ADP + AMPKA => AMPKA_ADP + REF,1.5E+06,1.5E+06,coccimiglio2020adp
23,AMPKA_ADP + REF => ADP + AMPKA,2.25E-03,2.25E-03,coccimiglio2020adp
24,AMP + AMPKA => AMPKA_AMP + REF,1E+06,1E+06,coccimiglio2020adp
25,AMPKA_AMP + REF => AMP + AMPKA,3.75E-03,3.75E-03,coccimiglio2020adp
