reaction,dummy,calibrated rate constant,original rate constant,source
a,b,c,d,e
GLUCOUT => REF,                                    ,2.5E-08,2.5E-08,calibrated
GLUT1 + GLUCOUT => GLUT1_GLUCOUT + REF,           ,1.28E+06, 1.28E+06, zhou2022coordination
GLUT1_GLUCOUT + REF => GLUT1 + GLUCOUT,           ,0.555,1.553, zhou2022coordination
GLUT1_GLUCOUT + REF => GLUT1 + GLUCIN,             ,0.111, 0.111, zhou2022coordination
GLUT1 + GLUCIN => GLUT1_GLUCIN + REF,              ,1.28E+06,1.28E+06, zhou2022coordination
GLUT1_GLUCIN + REF => GLUT1 + GLUCIN,              ,0.555,1.553, zhou2022coordination
GLUT1_GLUCIN + REF => GLUT1 + GLUCOU,             ,0.111,0.111, zhou2022coordination
GLUCIN + 8 REF => 2 PYRUVATE + 7 Q,                ,4E-05,,calibrated
PYRUVATE + 11.5 REF => 12.5 Q,                     ,4E-05,,calibrated
Q + ADP  => ATP + REF,                           ,1.0E+06,,calibrated
ATP => ADP,                                        ,6.15E-05,1.3E-04, zhou2022coordination
2 ADP => ATP + AMP,                                ,1.67E+05,1.67E+07, zhou2022coordination
ATP + AMP => 2 ADP,                                ,1.67E+04,1.67E+07, zhou2022coordination
ATP + AMPK => AMPK_ATP + REF,                      ,1E+06,1E+06,coccimiglio2020adp
AMPK_ATP + REF => ATP + AMPK,                      ,2.2E-01,2.2E-01,coccimiglio2020adp
ADP + AMPK => AMPK_ADP + REF,                      ,1.5E+06,1.5E+06,coccimiglio2020adp
AMPK_ADP + REF => ADP + AMPK,                      ,2.25E-03,2.25E-03,coccimiglio2020adp
AMP + AMPK => AMPK_AMP + REF,                      ,1.5E+06,1.5E+06,coccimiglio2020adp
AMPK_AMP + REF => AMP + AMPK,                      ,3.75E-03,3.75E-03,coccimiglio2020adp
ATP + AMPKA => AMPKA_ATP + REF,                    ,1E+06,1E+06,coccimiglio2020adp
AMPKA_ATP + REF => ATP + AMPKA,                    ,4E-01,4E-01,coccimiglio2020adp
ADP + AMPKA => AMPKA_ADP + REF,                    ,1.5E+06,1.5E+06,coccimiglio2020adp
AMPKA_ADP + REF => ADP + AMPKA,                    ,2.25E-03,2.25E-03,coccimiglio2020adp
AMP + AMPKA => AMPKA_AMP + REF,                    ,1E+06,1E+06,coccimiglio2020adp
AMPKA_AMP + REF => AMP + AMPKA,                    ,3.75E-03,3.75E-03,coccimiglio2020adp
AMPK + LKB1 => AMPK_LKB1 + REF,                    ,3.61E+06,3.61E+06,coccimiglio2020adp
AMPK_LKB1 + REF => AMPK + LKB1,                    ,5E+03,5E+03,coccimiglio2020adp
AMPK_LKB1 + REF => AMPKA + LKB1,                   ,5E+01,5E+01,coccimiglio2020adp
AMPKA + PP2A => AMPKA_PP2A + REF,                  ,8.21E+06,8.21E+06,coccimiglio2020adp
AMPKA_PP2A + REF => AMPKA + PP2A,                  ,5E+02,5E+02,coccimiglio2020adp
AMPKA_PP2A + REF => AMPK + PP2A,                   ,5E+01,5E+01,coccimiglio2020adp   
AMPK_ATP + LKB1 => AMPK_ATP_LKB1 + REF,            ,3.61E+06,3.61E+06,coccimiglio2020adp
AMPK_ATP_LKB1 + REF => AMPK_ATP + LKB1,            ,5E+03,5E+03,coccimiglio2020adp
AMPK_ATP_LKB1 + REF => AMPKA_ATP + LKB1,           ,5E+00,5E+01,coccimiglio2020adp
AMPKA_ATP + PP2A => AMPKA_ATP_PP2A + REF,          ,8.21E+06,8.21E+06,coccimiglio2020adp
AMPKA_ATP_PP2A + REF => AMPKA_ATP + PP2A,          ,5E+02,5E+02,coccimiglio2020adp
AMPKA_ATP_PP2A + REF => AMPK_ATP + PP2A,           ,5E+02,5E+01,coccimiglio2020adp
AMPK_ADP + LKB1 => AMPK_ADP_LKB1 + REF,            ,5.41E+06,5.41E+06,coccimiglio2020adp
AMPK_ADP_LKB1 + REF => AMPK_ADP + LKB1,            ,7.5E+01,7.5E+03,coccimiglio2020adp
AMPK_ADP_LKB1 + REF => AMPKA_ADP + LKB1,           ,1.5E+02,7.5E+01,coccimiglio2020adp
AMPKA_ADP + PP2A => AMPKA_ADP_PP2A + REF,          ,8.21E+04,8.21E+04,coccimiglio2020adp
AMPKA_ADP_PP2A + REF => AMPKA_ADP + PP2A,          ,5E+00,5E+00,coccimiglio2020adp
AMPKA_ADP_PP2A + REF => AMPK_ADP + PP2A,           ,1E+00,1E+00,coccimiglio2020adp
AMPK_AMP + LKB1 => AMPK_AMP_LKB1 + REF,            ,1.44E+07,1.44E+07,coccimiglio2020adp
AMPK_AMP_LKB1 + REF => AMPK_AMP + LKB1,            ,2E+01,2E+04,coccimiglio2020adp
AMPK_AMP_LKB1 + REF => AMPKA_AMP + LKB1,           ,3E+02,2E+02,coccimiglio2020adp
AMPKA_AMP + PP2A => AMPKA_AMP_PP2A + REF,          ,8.21E+04,8.21E+04,coccimiglio2020adp
AMPKA_AMP_PP2A + REF => AMPKA_AMP + PP2A,          ,5E+00,5E+00,coccimiglio2020adp
AMPKA_AMP_PP2A + REF => AMPK_AMP + PP2A,           ,1E+00,1E+00,coccimiglio2020adp
AMPKA + MTORA => AMPKA + MTOR,                     ,8.01423E+07,8.01423E+07,hajdu2024basal
AMPKA_ATP + MTORA => AMPKA_ATP + MTOR,             ,8.01423E+07,8.01423E+07,hajdu2024basal
AMPKA_ADP + MTORA => AMPKA_ADP + MTOR,             ,8.01423E+07,8.01423E+07,hajdu2024basal
AMPKA_AMP + MTORA => AMPKA_AMP + MTOR,             ,4.54269E+08,4.54269E+08,hajdu2024basal
MTORA + AMPKA => MTORA + AMPK,                     ,9.6385E+03,9.6385E+03,hajdu2024basal
MTORA + AMPKA_ATP => MTORA + AMPK_ATP,             ,9.6385E+03,9.6385E+03,hajdu2024basal
MTORA + AMPKA_ADP => MTORA + AMPK_ADP,             ,9.6385E+03,9.6385E+03,hajdu2024basal
MTORA + AMPKA_AMP => MTORA + AMPK_AMP,             ,9.6385E+03,9.6385E+03,hajdu2024basal
ULKA + MTORA => MTORA + ULK,                       ,1.6122E+04,1.6122E+04,hajdu2024basal
ULKA + MTORA => MTOR + ULKA,                       ,1.9507E+05,1.9507E+05,hajdu2024basal
AMPKA + TSC => AMPKA + TSCA,                       ,1.489E+03,1.489E+03,hajdu2024basal
AMPKA_ATP + TSC => AMPKA_ATP + TSCA,               ,1.489E+03,1.489E+03,hajdu2024basal
AMPKA_ADP + TSC => AMPKA_ADP + TSCA,               ,1.5342E+03,1.5342E+03,hajdu2024basal
AMPKA_AMP + TSC => AMPKA_AMP + TSCA,               ,1.3537E+04,1.3537E+04,hajdu2024basal
RHEBA + TSCA => RHEB + TSCA,                       ,5.2292E+03,5.2292E+03,hajdu2024basal
RHEBA + MTOR => RHEBA + MTORA,                     ,1.4312E+08,1.4312E+08,hajdu2024basal
RHEB => RHEBA,                                     ,9.2104E-08,9.2104E-08,hajdu2024basal
AKTA => AKT,                                       ,5.0667E-07,5.0667E-07,hajdu2024basal
AKTA + TSCA => AKTA + TSC,                         ,6.4680E+09,6.4680E+09,hajdu2024basal
AMPKA + ULK => AMPKA + ULKA,                       ,3.3223E+05,4.0270E+03,hajdu2024basal
AMPKA_ATP + ULK => AMPKA_ATP + ULKA,               ,3.3223E+05,4.0270E+03,hajdu2024basal
AMPKA_ADP + ULK => AMPKA_ADP + ULKA,               ,3.423E+05,4.0270E+03,hajdu2024basal
AMPKA_AMP + ULK => AMPKA_AMP + ULKA,               ,1.2203E+06,4.0270E+03,hajdu2024basal
ULKA => ULK,                                       ,2.8119E-05,2.8119E-05,hajdu2024basal
AMPKA + ULKA => AMPK + ULKA,                       ,4.1653E+01,2.5661E+04,hajdu2024basal
AMPKA_ATP + ULKA => AMPK_ATP + ULKA,               ,4.1653E+01,2.6661E+04,hajdu2024basal
AMPKA_ADP + ULKA => AMPK_ADP + ULKA,               ,4.1653E+01,2.6661E+04,hajdu2024basal
AMPKA_AMP + ULKA => AMPK_AMP + ULKA,               ,4.1653E+01,2.6661E+04,hajdu2024basal
