species,minconc,value,maxconc
AC,100.0,200.0,400.0
AC_GA,0.0,0.0,0.0
AC_GAA,0.0,0.0,0.0
AKT,0.0,0.0,0.0
AKTA,50.0,100.0,200.0
AMPK,187.5,375.0,750.0
AMPKA,0.0,0.0,0.0
ATG5,100.0,200.0,400.0
ATG5_BCL2,0.0,0.0,0.0
ATG5T,15.0,30.0,60.0
AUT,0.0,0.0,0.0
BCL2,25.0,50.0,100.0
BCL2_BAX,10.0,20.0,40.0
BCL2_PUMA,25.0,50.0,100.0
BEC1,50.0,100.0,200.0
BEC1_BCL2,0.0,0.0,0.0
BEC1_UVG,0.0,0.0,0.0
BAX,10.0,20.0,40.0
BAXA,0.0,0.0,0.0
BID,10.0,20.0,40.0
CA2ER,1000.0,1000.0,1000.0
CA2IC,100.0,100.0,100.0
CAMKKB,50.0,100.0,200.0
CAMKKBA,0.0,0.0,0.0
CALPAIN,10.0,20.0,40.0
CALPAINA,0.0,0.0,0.0
DAPK,50.0,100.0,200.0
DAPKA,0.0,0.0,0.0
DRAM,0.0,0.0,0.0
EPAC,5.0,10.0,20.0
EPACA,0.0,0.0,0.0
GPCRA,5.0,10.0,20.0
GA,5.0,10.0,20.0
GAA,0.0,0.0,0.0
GABC,0.0,0.0,0.0
GBC,5.0,10.0,20.0
IP3,65.0,130.0,260.0
IP3R,5.0,10.0,20.0
IP3R_BCL2,0.0,0.0,0.0
IP3R_IP3,0.0,0.0,0.0
MDM2,0.0,0.0,0.0
P53A_BCL2,0.0,0.0,0.0
PLCEA,0.0,0.0,0.0
PLCE,5.0,10.0,20.0
PIP2,250.0,500.0,1000.0
PKA,75.0,150.0,300.0
PKAA,0.0,0.0,0.0
PUMA,0.0,0.0,0.0
RHEB,0.0,0.0,0.0
RHEBA,150.0,300.0,600.0
SERCA,50.0,100.0,200.0
TSC,112.5,225.0,450.0
TSCA,0.0,0.0,0.0
ULK,35.0,70.0,140.0
ULKA,0.0,0.0,0.0
UVG,50.0,100.0,200.0
UVG_BAX,0.0,0.0,0.0
CAMP,0.0,0.0,0.0
CASP,0.0,0.0,0.0
CYTC,0.0,0.0,0.0
CYTCM,10.0,20.0,40.0
MTOR,0.0,0.0,0.0
MTORA,187.5,375.0,750.0
P53,12.5,25.0,50.0
P53A,0.0,0.0,0.0
PHAG,0.0,0.0,0.0
PREAUT,0.0,0.0,0.0
PROCASP,12.0,24.0,48.0
TBID,0.0,0.0,0.0
PKC,50.0,100.0,200.0
PKC_CA2IC,0.0,0.0,0.0
NS,0.0,0.0,0.0
RAP,0.0,0.0,0.0
TG,0.0,0.0,0.0
DS,0.0,0.0,0.0
CCH,0.0,0.0,0.0
REF,1.0,1.0,1.0
INSULIN,1e-10,1e-10,1e-10
TG_SERCA,0.0,0.0,0.0
MTOR_RAP,0.0,0.0,0.0
CASP,0.0,0.0,0.0
IP3R,0.0,0.0,0.0
BAXA,0.0,0.0,0.0
TBID,0.0,0.0,0.0
