,AMPK,AMPK_ATP,AMPK_ADP,AMPK_AMP,ATP,ADP,AMP,PYRUVATE
1,1.49991e-07,1.49991e-07,1.49991e-07,1.49991e-07,7.69955e-06,5.69967e-08,4.39974e-10,4.99971e-09
2,1.21082e-10,3.50477e-12,5.79236e-07,2.06046e-08,6.37405e-09,7.47038e-06,1.30367e-07,2.53176e-06
3,1.19462e-10,3.77978e-12,5.91627e-07,8.21482e-09,6.96194e-09,7.45686e-06,1.43292e-07,3.53945e-06
4,1.19308e-10,3.77616e-12,5.928e-07,7.04213e-09,6.96149e-09,7.45516e-06,1.44998e-07,3.84943e-06
5,1.19292e-10,3.63405e-12,5.92891e-07,6.951e-09,6.69911e-09,7.45479e-06,1.45623e-07,3.84082e-06
6,1.19288e-10,3.43437e-12,5.92878e-07,6.96412e-09,6.33064e-09,7.45464e-06,1.46143e-07,3.69185e-06
7,1.19286e-10,3.21688e-12,5.92855e-07,6.98717e-09,5.92962e-09,7.45453e-06,1.46654e-07,3.4871e-06
8,1.19283e-10,2.99973e-12,5.92832e-07,7.01119e-09,5.52935e-09,7.45442e-06,1.47163e-07,3.2654e-06
9,1.1928e-10,2.79089e-12,5.92808e-07,7.03531e-09,5.14447e-09,7.4543e-06,1.47672e-07,3.04462e-06
10,1.19278e-10,2.59347e-12,5.92784e-07,7.05945e-09,4.78063e-09,7.45415e-06,1.48182e-07,2.83242e-06
11,1.19276e-10,2.40859e-12,5.9276e-07,7.08361e-09,4.43991e-09,7.45398e-06,1.48691e-07,2.63204e-06
12,1.19275e-10,2.23626e-12,5.92736e-07,7.10779e-09,4.12228e-09,7.45379e-06,1.492e-07,2.44447e-06
13,1.19273e-10,2.07629e-12,5.92712e-07,7.13199e-09,3.82744e-09,7.45358e-06,1.49709e-07,2.27e-06
14,1.19272e-10,1.9274e-12,5.92688e-07,7.15621e-09,3.55302e-09,7.45334e-06,1.50218e-07,2.10744e-06
15,1.19272e-10,1.78912e-12,5.92663e-07,7.18044e-09,3.29812e-09,7.45309e-06,1.50727e-07,1.95636e-06
16,1.19272e-10,1.66078e-12,5.92639e-07,7.20469e-09,3.06156e-09,7.45282e-06,1.51236e-07,1.81611e-06
17,1.19271e-10,1.54128e-12,5.92615e-07,7.22895e-09,2.84126e-09,7.45253e-06,1.51745e-07,1.68549e-06
18,1.19272e-10,1.43091e-12,5.92591e-07,7.25323e-09,2.6378e-09,7.45222e-06,1.52254e-07,1.56484e-06
19,1.19272e-10,1.3281e-12,5.92567e-07,7.27751e-09,2.44827e-09,7.4519e-06,1.52763e-07,1.45244e-06
20,1.19273e-10,1.23234e-12,5.92543e-07,7.30181e-09,2.27173e-09,7.45157e-06,1.53272e-07,1.34775e-06
21,1.19273e-10,1.14417e-12,5.92518e-07,7.32612e-09,2.10919e-09,7.45123e-06,1.53781e-07,1.25135e-06
22,1.19274e-10,1.06213e-12,5.92494e-07,7.35044e-09,1.95795e-09,7.45087e-06,1.54289e-07,1.16165e-06
23,1.19275e-10,9.85718e-13,5.9247e-07,7.37476e-09,1.81707e-09,7.4505e-06,1.54798e-07,1.07809e-06
24,1.19277e-10,9.14852e-13,5.92446e-07,7.39909e-09,1.68642e-09,7.45012e-06,1.55307e-07,1.0006e-06
25,1.19278e-10,8.49396e-13,5.92421e-07,7.42343e-09,1.56574e-09,7.44973e-06,1.55815e-07,9.29016e-07
26,1.1928e-10,7.88421e-13,5.92397e-07,7.44778e-09,1.45332e-09,7.44934e-06,1.56323e-07,8.62334e-07
27,1.19281e-10,7.32242e-13,5.92373e-07,7.47213e-09,1.34975e-09,7.44893e-06,1.56832e-07,8.00894e-07
28,1.19283e-10,6.79716e-13,5.92349e-07,7.49649e-09,1.25291e-09,7.44852e-06,1.5734e-07,7.43447e-07
29,1.19285e-10,6.30835e-13,5.92324e-07,7.52085e-09,1.16279e-09,7.4481e-06,1.57848e-07,6.89984e-07
30,1.19287e-10,5.8536e-13,5.923e-07,7.54522e-09,1.07895e-09,7.44768e-06,1.58356e-07,6.40245e-07
31,1.19289e-10,5.4318e-13,5.92276e-07,7.56959e-09,1.00119e-09,7.44725e-06,1.58865e-07,5.94107e-07
32,1.19291e-10,5.04467e-13,5.92251e-07,7.59396e-09,9.29817e-10,7.44681e-06,1.59373e-07,5.51761e-07
