species,minconc,value,maxconc
PYRUVATE,20000.0,33000.0,40000.0
Q,1000.0000000000001,1000.0000000000001,1000.0000000000001
ATP,3000000.0,5000000.0,7000000.0
ADP,50000.0,125000.0,200000.0
AMP,500.00000000000006,2500.0,5000.0
AMPK,100.0,100.0,100.0
AMPK_ATP,100.0,100.0,100.0
AMPK_ADP,100.0,100.0,100.0
AMPK_AMP,100.0,100.0,100.0
AMPKA,0.0,0.0,0.0
AMPKA_ATP,0.0,0.0,0.0
AMPKA_ADP,0.0,0.0,0.0
AMPKA_AMP,0.0,0.0,0.0
AMPK_LKB1,0.0,0.0,0.0
AMPK_ATP_LKB1,0.0,0.0,0.0
AMPK_ADP_LKB1,0.0,0.0,0.0
AMPK_AMP_LKB1,0.0,0.0,0.0
AMPKA_PP2A,0.0,0.0,0.0
AMPKA_ATP_PP2A,0.0,0.0,0.0
AMPKA_ADP_PP2A,0.0,0.0,0.0
AMPKA_AMP_PP2A,0.0,0.0,0.0
LKB1,21.3,28.8,37.199999999999996
PP2A,286.0,386.0,498.00000000000006
GLUT1,147.0,199.0,257.0
GLUCOUT,1000000.0,1000000.0,1000000.0
GLUCIN,85000.0,400000.0,550000.0
GLUT1_GLUCOUT,0.0,0.0,0.0
GLUT1_GLUCIN,0.0,0.0,0.0
AKT,0.0,0.0,0.0
AKTA,50.0,100.0,200.0
MTOR,0.0,0.0,0.0
MTORA,188.0,375.0,750.0
RHEB,0.0,0.0,0.0
RHEBA,150.0,300.0,600.0
TSC,113.0,225.0,450.0
TSCA,0.0,0.0,0.0
ULK,35.0,70.0,140.0
ULKA,0.0,0.0,0.0
RAP,0.0,0.0,0.0
RK,0.0,0.0,0.0
FKBP12,700.0,700.0,700.0
RKMTORA,0.0,0.0,0.0
RAPOUT,50000000.0,50000000.0,50000000.0
REF,1000000000000.0,1000000000000.0,1000000000000.0
AC,100.0,200.0,400.0
AC_Ga,0.0,0.0,0.0
AC_Gaa,0.0,0.0,0.0
AKTa,50.0,100.0,200.0
AMPKa,0.0,0.0,0.0
ATG5,100.0,200.0,400.0
ATG5_BCL2,0.0,0.0,0.0
ATG5t,15.0,30.0,60.0
AUT,0.0,0.0,0.0
BCL2,25.0,50.0,100.0
BCL2_Bax,10.0,20.0,40.0
BCL2_PUMA,25.0,50.0,100.0
BEC1,50.0,100.0,200.0
BEC1_BCL2,0.0,0.0,0.0
BEC1_UVG,0.0,0.0,0.0
Bax,10.0,20.0,40.0
Baxa,0.0,0.0,0.0
Bid,10.0,20.0,40.0
Ca2er,1000.0,1000.0,1000.0
Ca2ic,100.0,100.0,100.0
CaMKKb,50.0,100.0,200.0
CaMKKba,0.0,0.0,0.0
Calpain,10.0,20.0,40.0
Calpaina,0.0,0.0,0.0
DAPK,50.0,100.0,200.0
DAPKa,0.0,0.0,0.0
DRAM,0.0,0.0,0.0
EPAC,5.0,10.0,20.0
EPACa,0.0,0.0,0.0
GPCRa,5.0,10.0,20.0
Ga,5.0,10.0,20.0
Gaa,0.0,0.0,0.0
Gabc,0.0,0.0,0.0
Gbc,5.0,10.0,20.0
IP3,65.0,130.0,260.0
IP3R,5.0,10.0,20.0
IP3R_BCL2,0.0,0.0,0.0
IP3R_IP3,0.0,0.0,0.0
MDM2,0.0,0.0,0.0
P53a_BCL2,0.0,0.0,0.0
PLCea,0.0,0.0,0.0
PLCe,5.0,10.0,20.0
PIP2,250.0,500.0,1000.0
PKA,75.0,150.0,300.0
PKAa,0.0,0.0,0.0
PUMA,0.0,0.0,0.0
RHEBa,150.0,300.0,600.0
SERCA,50.0,100.0,200.0
TSCa,0.0,0.0,0.0
ULKa,0.0,0.0,0.0
UVG,50.0,100.0,200.0
UVG_Bax,0.0,0.0,0.0
cAMP,0.0,0.0,0.0
casp,0.0,0.0,0.0
cytc,0.0,0.0,0.0
cytcm,10.0,20.0,40.0
mTOR,0.0,0.0,0.0
mTORa,187.5,375.0,750.0
p53,12.5,25.0,50.0
p53a,0.0,0.0,0.0
phag,0.0,0.0,0.0
preAUT,0.0,0.0,0.0
procasp,12.0,24.0,48.0
tBid,0.0,0.0,0.0
PKC,50.0,100.0,200.0
PKC_Ca2ic,0.0,0.0,0.0
