species,minconc,value,maxconc
PYRUVATE,2e-08,3.3e-08,4e-08
Q,1e-09,1e-09,1e-09
ATP,3e-06,4.9999999999999996e-06,7e-06
ADP,5e-08,1.25e-07,2e-07
AMP,5e-10,2.5e-09,5e-09
AMPK,1e-10,1e-10,1e-10
AMPK_ATP,1e-10,1e-10,1e-10
AMPK_ADP,1e-10,1e-10,1e-10
AMPK_AMP,1e-10,1e-10,1e-10
AMPKA,0.0,0.0,0.0
AMPKA_ATP,0.0,0.0,0.0
AMPKA_ADP,0.0,0.0,0.0
AMPKA_AMP,0.0,0.0,0.0
AMPK_LKB1,0.0,0.0,0.0
AMPK_ATP_LKB1,0.0,0.0,0.0
AMPK_ADP_LKB1,0.0,0.0,0.0
AMPK_AMP_LKB1,0.0,0.0,0.0
AMPKA_PP2A,0.0,0.0,0.0
AMPKA_ATP_PP2A,0.0,0.0,0.0
AMPKA_ADP_PP2A,0.0,0.0,0.0
AMPKA_AMP_PP2A,0.0,0.0,0.0
LKB1,2.13e-11,2.88e-11,3.7200000000000005e-11
PP2A,2.86e-10,3.86e-10,4.98e-10
GLUT1,1.47e-10,1.9899999999999998e-10,2.57e-10
GLUCOUT,1e-06,6e-06,10e-06
GLUCIN,8.5e-08,4e-07,5.5e-07
GLUT1_GLUCOUT,0.0,0.0,0.0
GLUT1_GLUCIN,0.0,0.0,0.0
AKT,0.0,0.0,0.0
AKTA,5e-11,1e-10,2e-10
MTOR,0.0,0.0,0.0
MTORA,1.88e-10,3.75e-10,7.5e-10
RHEB,0.0,0.0,0.0
RHEBA,1.5e-10,3e-10,6e-10
TSC,1.13e-10,2.25e-10,4.5e-10
TSCA,0.0,0.0,0.0
ULK,3.5e-11,7e-11,1.4e-10
ULKA,0.0,0.0,0.0
RAP,0.0,0.0,0.0
RK,0.0,0.0,0.0
FKBP12,7e-10,7e-10,7e-10
RKMTORA,0.0,0.0,0.0
RAPOUT,4.9999999999999996e-05,4.9999999999999996e-05,4.9999999999999996e-05
REF,1.0,1.0,1.0
AC,1e-10,2e-10,4e-10
AC_Ga,0.0,0.0,0.0
AC_Gaa,0.0,0.0,0.0
AKTa,5e-11,1e-10,2e-10
AMPKa,0.0,0.0,0.0
ATG5,1e-10,2e-10,4e-10
ATG5_BCL2,0.0,0.0,0.0
ATG5t,1.5e-11,3e-11,6e-11
AUT,0.0,0.0,0.0
BCL2,2.5e-11,5e-11,1e-10
BCL2_Bax,1e-11,2e-11,4e-11
BCL2_PUMA,2.5e-11,5e-11,1e-10
BEC1,5e-11,1e-10,2e-10
BEC1_BCL2,0.0,0.0,0.0
BEC1_UVG,0.0,0.0,0.0
Bax,1e-11,2e-11,4e-11
Baxa,0.0,0.0,0.0
Bid,1e-11,2e-11,4e-11
Ca2er,1e-09,1e-09,1e-09
Ca2ic,1e-10,1e-10,1e-10
CaMKKb,5e-11,1e-10,2e-10
CaMKKba,0.0,0.0,0.0
Calpain,1e-11,2e-11,4e-11
Calpaina,0.0,0.0,0.0
DAPK,5e-11,1e-10,2e-10
DAPKa,0.0,0.0,0.0
DRAM,0.0,0.0,0.0
EPAC,5e-12,1e-11,2e-11
EPACa,0.0,0.0,0.0
GPCRa,5e-12,1e-11,2e-11
Ga,5e-12,1e-11,2e-11
Gaa,0.0,0.0,0.0
Gabc,0.0,0.0,0.0
Gbc,5e-12,1e-11,2e-11
IP3,6.5e-11,1.3e-10,2.6e-10
IP3R,5e-12,1e-11,2e-11
IP3R_BCL2,0.0,0.0,0.0
IP3R_IP3,0.0,0.0,0.0
MDM2,0.0,0.0,0.0
P53a_BCL2,0.0,0.0,0.0
PLCea,0.0,0.0,0.0
PLCe,5e-12,1e-11,2e-11
PIP2,2.5e-10,5e-10,1e-09
PKA,7.5e-11,1.5e-10,3e-10
PKAa,0.0,0.0,0.0
PUMA,0.0,0.0,0.0
RHEBa,1.5e-10,3e-10,6e-10
SERCA,5e-11,1e-10,2e-10
TSCa,0.0,0.0,0.0
ULKa,0.0,0.0,0.0
UVG,5e-11,1e-10,2e-10
UVG_Bax,0.0,0.0,0.0
cAMP,0.0,0.0,0.0
casp,0.0,0.0,0.0
cytc,0.0,0.0,0.0
cytcm,1e-11,2e-11,4e-11
mTOR,0.0,0.0,0.0
mTORa,1.875e-10,3.75e-10,7.5e-10
p53,1.25e-11,2.5e-11,5e-11
p53a,0.0,0.0,0.0
phag,0.0,0.0,0.0
preAUT,0.0,0.0,0.0
procasp,1.2e-11,2.4e-11,4.8e-11
tBid,0.0,0.0,0.0
PKC,5e-11,1e-10,2e-10
PKC_Ca2ic,0.0,0.0,0.0
