species,minconc,value,maxconc
AC,100,200,400
AC_Ga,0,0,0
AC_Gaa,0,0,0
AKT,0,0,0
AKTa,50,100,200
AMPK,187.5,375,750
AMPKa,0,0,0
ATG5,100,200,400
ATG5_BCL2,0,0,0
ATG5t,15,30,60
AUT,0,0,0
BCL2,25,50,100
BCL2_Bax,10,20,40
BCL2_PUMA,25,50,100
BEC1,50,100,200
BEC1_BCL2,0,0,0
BEC1_UVG,0,0,0
Bax,10,20,40
Baxa,0,0,0
Bid,10,20,40
Ca2er,1000,1000,1000
Ca2ic,100,100,100
CaMKKb,50,100,200
CaMKKba,0,0,0
Calpain,10,20,40
Calpaina,0,0,0
DAPK,50,100,200
DAPKa,0,0,0
DRAM,0,0,0
EPAC,5,10,20
EPACa,0,0,0
GPCRa,5,10,20
Ga,5,10,20
Gaa,0,0,0
Gabc,0,0,0
Gbc,5,10,20
IP3,65,130,260
IP3R,5,10,20
IP3R_BCL2,0,0,0
IP3R_IP3,0,0,0
MDM2,0,0,0
P53a_BCL2,0,0,0
PLCea,0,0,0
PLCe,5,10,20
PIP2,250,500,1000
PKA,75,150,300
PKAa,0,0,0
PUMA,0,0,0
RHEB,0,0,0
RHEBa,150,300,600
SERCA,50,100,200
TSC,112.5,225,450
TSCa,0,0,0
ULK,35,70,140
ULKa,0,0,0
UVG,50,100,200
UVG_Bax,0,0,0
cAMP,0,0,0
casp,0,0,0
cytc,0,0,0
cytcm,10,20,40
mTOR,0,0,0
mTORa,187.5,375,750
p53,12.5,25,50
p53a,0,0,0
phag,0,0,0
preAUT,0,0,0
procasp,12,24,48
tBid,0,0,0
PKC,50,100,200
PKC_Ca2ic,0,0,0
FKBP12,0,0,0
