species,minconc,value,maxconc
PYRUVATE,2.00E-08,3.30E-08,4.00E-08
Q,1.00E-09,1.00E-09,1.00E-09
ATP,4.600E-06,6.00E-06,7.00E-06
ADP,5.00E-08,1.25E-07,2.00E-07
AMP,5.00E-10,2.00E-09,3.00E-09
AMPK,7.50E-11,1.00E-10,1.25E-10
AMPK_ATP,7.50E-11,1.00E-10,1.25E-10
AMPK_ADP,7.50E-11,1.00E-10,1.25E-10
AMPK_AMP,7.50E-11,1.00E-10,1.25E-10
AMPKA,0.00E+00,0.00E+00,0.00E+00
AMPKA_ATP,0.00E+00,0.00E+00,0.00E+00
AMPKA_ADP,0.00E+00,0.00E+00,0.00E+00
AMPKA_AMP,0.00E+00,0.00E+00,0.00E+00
AMPK_LKB1,0.00E+00,0.00E+00,0.00E+00
AMPK_ATP_LKB1,0.00E+00,0.00E+00,0.00E+00
AMPK_ADP_LKB1,0.00E+00,0.00E+00,0.00E+00
AMPK_AMP_LKB1,0.00E+00,0.00E+00,0.00E+00
AMPKA_PP2A,0.00E+00,0.00E+00,0.00E+00
AMPKA_ATP_PP2A,0.00E+00,0.00E+00,0.00E+00
AMPKA_ADP_PP2A,0.00E+00,0.00E+00,0.00E+00
AMPKA_AMP_PP2A,0.00E+00,0.00E+00,0.00E+00
LKB1,2.13E-11,2.88E-11,3.72E-11
PP2A,2.86E-10,3.86E-10,4.98E-10
GLUT1,1.47E-10,1.99E-10,2.57E-10
GLUCOUT,1.00E-06,1.00E-06,1.00E-06
GLUCIN,8.50E-08,4.00E-07,5.00E-07
GLUT1_GLUCOUT,0.00E+00,0.00E+00,0.00E+00
GLUT1_GLUCIN,0.00E+00,0.00E+00,0.00E+00
AKT,0.00E+00,0.00E+00,0.00E+00
AKTA,5.00E-11,1.00E-10,2.00E-10
MTOR,0.00E+00,0.00E+00,0.00E+00
MTORA,1.88E-10,3.75E-10,7.50E-10
RHEB,0.00E+00,0.00E+00,0.00E+00
RHEBA,1.50E-10,3.00E-10,6.00E-10
TSC,1.13E-10,2.25E-10,4.50E-10
TSCA,0.00E+00,0.00E+00,0.00E+00
ULK,1.00E-10,2.25E-10,4.00E-10
ULKA,0.00E+00,0.00E+00,0.00E+00
RAP,0.00E+00,0.00E+00,0.00E+00
RK,0.00E+00,0.00E+00,0.00E+00
FKBP12,7.00E-10,7.00E-10,7.00E-10
RKMTORA,0.00E+00,0.00E+00,0.00E+00
RAPOUT,0.00E-00,0.00E-00,0.00E-00
REF,1.00E+00,1.00E+00,1.00E+00
